wallet,total_transactions,total_volume_eth,active_days,unique_contracts,avg_transaction_amount_eth,median_transaction_amount_eth,p90_transaction_amount_eth,large_tx_ratio,micro_tx_ratio,zero_value_tx_ratio,night_ratio,early_morning_ratio,daytime_ratio,weekend_ratio,pct_hour_0,pct_hour_1,pct_hour_2,pct_hour_3,pct_hour_4,pct_hour_5,pct_hour_6,pct_hour_7,pct_hour_8,pct_hour_9,pct_hour_10,pct_hour_11,pct_hour_12,pct_hour_13,pct_hour_14,pct_hour_15,pct_hour_16,pct_hour_17,pct_hour_18,pct_hour_19,pct_hour_20,pct_hour_21,pct_hour_22,pct_hour_23,dst_mode_hour,non_dst_mode_hour,tx_hour_variance,avg_tx_hour_period1,avg_tx_hour_period2,avg_tx_hour_period3,avg_tx_hour_period4,avg_tx_hour_period5,avg_tx_hour_period6,avg_gas_price,median_gas_price,p90_gas_price,gas_price_stddev,avg_tx_fee_eth,avg_tx_per_day,days_since_last_tx,wallet_life_days,wallet_age_days,unique_contracts_ratio,usdt_count,usdc_count,dai_count,stablecoin_diversity,usdt_vs_usdc_ratio,dex_count,lending_count,nft_count,bridge_count,dex_ratio,top1_token,top1_token_count,top2_token,top2_token_count,top3_token,top3_token_count,top4_token,top4_token_count,top5_token,top5_token_count,top6_token,top6_token_count,top7_token,top7_token_count,top8_token,top8_token_count,top9_token,top9_token_count,top10_token,top10_token_count,top1_namespace,top1_namespace_count,top2_namespace,top2_namespace_count,top3_namespace,top3_namespace_count,top4_namespace,top4_namespace_count,top5_namespace,top5_namespace_count,top6_namespace,top6_namespace_count,top7_namespace,top7_namespace_count,top8_namespace,top8_namespace_count,top9_namespace,top9_namespace_count,top10_namespace,top10_namespace_count,top1_cex,top1_cex_region,top1_cex_count,top2_cex,top2_cex_region,top2_cex_count,top3_cex,top3_cex_region,top3_cex_count,top4_cex,top4_cex_region,top4_cex_count,top5_cex,top5_cex_region,top5_cex_count,cex_interaction_type,data_quality,domain_name
0xfc03bd5633b27ed72b4d87d65fdf435bdf0b2d00,50.0,0.021113182,32.0,2.0,0.000422264,0.0,0.0,0.0,0.98,0.96,0.0,0.0,0.82,0.12,,,,,,,0.06,0.04,0.04,0.02,0.1,0.04,0.06,0.08,0.04,0.06,0.12,0.06,0.04,0.14,0.02,0.04,0.02,0.02,19.0,,4.601729932030664,14.104166666666666,18.0,14.212765957446807,18.0,15.866666666666662,13.571428571428571,1690138771.0600002,970756726.0,3464055780.0,2570282543.839282,9.42658129540735e-05,1.5625,1.0,100.0,101.0,0.04,48.0,0.0,0.0,1.0,,,,,,,USDT,48,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,no_cex_interaction,very_high,
0x8874b1d5bdea9adcd49ec378eab7e4a2a49203e7,50.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.34,0.22,0.48,0.2,0.04,0.08,0.06,0.04,0.1,0.02,0.02,0.12,0.06,0.08,0.1,0.12,0.02,0.04,0.04,0.02,,,,,,,,0.04,11.0,,5.140316832925492,7.84,,7.84,,,7.84,3000000000.0,3000000000.0,3000000000.0,0.0,0.00012393276,1.851851851851852,6.0,50.0,56.0,0.02,50.0,0.0,0.0,1.0,,,,,,,USDT,50,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,no_cex_interaction,very_high,
0xc7a203d647e4b24fc0747ff32b17f93b42364955,50.0,1.965567261,29.0,10.0,0.039311345,0.0,0.102343073,0.0,0.8,0.78,0.3,0.24,0.32,0.16,0.08,0.12,,0.04,,0.06,0.02,0.1,0.14,,,,0.02,0.02,0.02,,0.02,,,0.04,0.06,0.06,0.14,0.06,,,8.41963206331682,12.44,10.079999999999998,12.44,9.818181818181817,9.555555555555555,13.260869565217392,1180705644.6599998,1055958508.0,1376623733.0,216661733.26481515,9.216719185637718e-05,1.7241379310344829,2.0,154.0,156.0,0.2,34.0,0.0,0.0,1.0,,,,,,,USDT,34,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,no_cex_interaction,very_high,
0x63cf95945276a89082ca15e2d541d9bb8d3d4cf0,50.0,0.0,26.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,0.1,0.52,0.12,0.02,0.04,,0.04,0.18,0.02,,0.16,0.04,0.08,,0.04,,0.04,0.08,,0.12,,,0.08,0.04,,0.02,,,,5.994044663544927,8.31578947368421,10.870967741935486,6.666666666666665,11.285714285714286,11.285714285714286,6.666666666666665,3239679505.959999,341664826.0,5577830314.0,6851955291.239454,0.0001788165873122,1.9230769230769231,2.0,277.0,279.0,0.04,49.0,0.0,0.0,1.0,,,,,,,USDT,49,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,no_cex_interaction,very_high,
0xf63b41e6954dbff99f44ad49751eb77eed49537f,50.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.06,0.82,0.38,,0.02,0.02,0.02,0.02,0.02,,0.02,0.04,0.06,0.08,0.06,0.14,0.1,0.08,0.04,0.06,0.04,0.04,0.06,0.02,0.04,0.02,,,,4.906305813409298,11.558823529411766,14.937499999999998,11.21875,15.16666666666667,13.870967741935482,10.63157894736842,479672789.96,376831005.0,890773567.0,363105684.43185455,1.981469461031644e-05,2.272727272727273,120.0,136.0,256.0,0.02,50.0,0.0,0.0,1.0,,,,,,,USDT,50,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,no_cex_interaction,very_high,
0xd5dfa856a6179bb37a55a12ef986044a8212a88d,50.0,0.0020995,43.0,2.0,4.199e-05,0.0,0.0,0.0,1.0,0.92,0.28,0.24,0.38,0.32,0.06,0.1,0.04,0.04,0.04,,0.04,0.06,0.08,0.06,0.14,0.02,,,,,,0.02,0.02,,0.04,0.06,0.1,0.08,10.0,,7.989891572915042,10.854166666666664,7.5,10.854166666666664,7.5,8.285714285714286,11.666666666666668,858993911.3199998,1000000000.0,1000000000.0,290979312.6608264,3.929301674523972e-05,1.162790697674419,103.0,228.0,331.0,0.04,46.0,0.0,0.0,1.0,,,,,,,USDT,46,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,no_cex_interaction,very_high,
0xaece7ca8fb255a248af659348954301f836df5ac,50.0,1.238695306,49.0,2.0,0.024773906,0.0,0.045359882,0.0,0.78,0.78,0.02,0.02,0.9,0.24,0.02,,,,,,0.02,,0.02,0.02,0.06,0.02,0.1,0.06,0.14,0.08,0.08,0.16,0.08,0.06,0.02,0.04,,0.02,,,4.097037257057139,15.250000000000002,13.999999999999998,15.846153846153848,13.391304347826088,14.303030303030305,15.470588235294116,2439352393.3,2157078750.0,3017965871.0,757137548.2102344,8.939721239860458e-05,1.020408163265306,1.0,291.0,292.0,0.04,39.0,0.0,0.0,1.0,,,,,,,USDT,39,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,no_cex_interaction,very_high,
0xaa56d64b12e55b58dd4c5803349528ed8c9fe38a,50.0,0.005925439,45.0,3.0,0.000118509,0.0,0.0,0.0,1.0,0.98,0.2,0.14,0.4,0.42,0.06,0.06,,0.02,0.04,0.02,0.02,,,0.02,,,0.02,0.02,0.02,0.06,0.06,0.02,0.08,0.04,0.06,0.14,0.08,0.16,,,7.798901021480986,17.73333333333333,12.0,17.62962962962963,12.0,12.814814814814817,18.52173913043478,2178980460.18,2115473453.0,2396923695.0,380234970.99163777,8.964708242683603e-05,1.1111111111111112,5.0,182.0,187.0,0.06,46.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,USDT,46,,0,,0,,0,,0,,0,,0,,0,,0,,0,yield,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,no_cex_interaction,very_high,
0x74a6407b5ea9d0bf435ca2692197a316307bb285,50.0,0.0,47.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.04,0.86,0.46,0.02,,,0.02,,0.04,,0.02,0.06,0.08,0.02,0.06,0.12,,0.08,0.2,0.04,0.1,0.04,0.04,0.02,0.02,0.02,,,,4.6434065608985735,13.028571428571428,13.266666666666664,13.058823529411766,13.000000000000002,13.0,13.178571428571432,858420595.68,255189221.0,2380153520.0,1424853317.39303,5.358115765420992e-05,1.0638297872340423,6.0,363.0,369.0,0.02,49.0,0.0,0.0,1.0,,,,,,,USDT,49,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,no_cex_interaction,very_high,
0x58fc36be6870597caf5a30e256aecafc7404ca1b,50.0,0.410254486,50.0,4.0,0.00820509,0.0,0.0,0.0,0.94,0.92,0.32,0.24,0.5,0.22,0.02,0.04,0.1,0.08,0.02,0.06,0.06,,0.04,0.02,0.04,0.08,,0.02,0.08,0.12,0.04,0.02,,,0.04,0.04,0.04,0.04,,,6.91641053537726,9.8,11.4,9.428571428571429,11.799999999999995,11.483870967741936,9.157894736842106,9150947233.12,6030838896.0,21602065387.0,16591281436.920963,0.000331421091888,1.0,7.0,739.0,746.0,0.08,30.0,0.0,0.0,1.0,,,,,,,USDT,30,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,no_cex_interaction,very_high,
